chembl_id,name,smiles,max_phase,formula,chembl_mw
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,4.0,C19H21N5O4,383.41
CHEMBL3,NICOTINE,CN1CCC[C@H]1c1cccnc1,4.0,C10H14N2,162.24
CHEMBL6200,NORNICOTINE,c1cncc([C@@H]2CCCN2)c1,1.0,C9H12N2,148.21
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,4.0,C18H20FN3O4,361.37
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4.0,C12H12N2O3,232.24
CHEMBL6246,ELLAGIC ACID,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,2.0,C14H6O8,302.19
CHEMBL204021,DARAPLADIB,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,3.0,C36H38F4N4O2S,666.79
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.0,C19H16ClNO4,357.79
CHEMBL403,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,4.0,C8H11NO5S,233.24
CHEMBL6259,DIFLOXACIN,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,2.0,C21H19F2N3O3,399.40
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,4.0,C10H12N4O5S,300.30
CHEMBL6273,FLEROXACIN,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,2.0,C17H18F3N3O3,369.34
CHEMBL6209,MERAFLOXACIN,CCNCC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CC)c3c2F)C1,2.0,C19H23F2N3O3,379.41
CHEMBL6231,AMIFLOXACIN,CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,2.0,C16H19FN4O3,334.35
CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,4.0,C17H18FN3O3,331.35
CHEMBL9,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,4.0,C16H18FN3O3,319.34
CHEMBL269538,HARMINE,COc1ccc2c(c1)[nH]c1c(C)nccc12,1.0,C13H12N2O,212.25
CHEMBL6318,IDOXIFENE,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,2.0,C28H30INO,523.46
CHEMBL405,AMPHETAMINE,CC(N)Cc1ccccc1,4.0,C9H13N,135.21
CHEMBL6622,ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],4.0,C6H8N2O8,236.14
CHEMBL6437,MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,4.0,C18H20N2,264.37
CHEMBL6731,TENAMFETAMINE,CC(N)Cc1ccc2c(c1)OCO2,2.0,C10H13NO2,179.22
CHEMBL263881,LYSERGIDE,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,2.0,C20H25N3O,323.44
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,4.0,C19H24N2,280.42
CHEMBL406,INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,4.0,C16H16ClN3O3S,365.84
CHEMBL407,FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,4.0,C15H14FN3O3,303.29
CHEMBL408,TROGLITAZONE,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,4.0,C24H27NO5S,441.55
CHEMBL409,BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,4.0,C18H14F4N2O4S,430.38
CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.0,C16H13ClN2O,284.75
CHEMBL266979,ENISOPROST,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CC/C=C\CCC(=O)OC,2.0,C22H36O5,380.53
CHEMBL13,METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1,4.0,C15H25NO3,267.37
CHEMBL6378,ZIDAPAMIDE,CC1c2ccccc2CN1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,2.0,C16H16ClN3O3S,365.84
CHEMBL266195,ALPRENOLOL,C=CCc1ccccc1OCC(O)CNC(C)C,2.0,C15H23NO2,249.35
CHEMBL538393,DIMECAMINE,CN(C)C1(C)C2CCC(C2)C1(C)C,2.0,C12H23N,181.32
CHEMBL7301,FENRETINIDE,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,3.0,C26H33NO2,391.56
CHEMBL411,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,4.0,C18H20O2,268.36
CHEMBL267936,MECAMYLAMINE,CNC1(C)C2CCC(C2)C1(C)C,4.0,C11H21N,167.30
CHEMBL14,CARBACHOL,C[N+](C)(C)CCOC(N)=O.[Cl-],4.0,C6H15ClN2O2,182.65
CHEMBL16,PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,4.0,C15H12N2O2,252.27
CHEMBL413,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,4.0,C51H79NO13,914.19
CHEMBL269732,TACROLIMUS ANHYDROUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,4.0,C44H69NO12,804.03
CHEMBL414,CARZENIDE,NS(=O)(=O)c1ccc(C(=O)O)cc1,2.0,C7H7NO4S,201.20
CHEMBL415,CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,4.0,C19H23ClN2,314.86
